date,pm25,temp_c
2026-01-01,105.4,18.6
2026-01-02,86.8,17.1
2026-01-03,97.5,19.9
2026-01-04,118.5,22.2
2026-01-05,115.1,19.9
2026-01-06,74.8,21.4
2026-01-07,106.1,21.7
2026-01-08,92.0,25.8
2026-01-09,95.3,24.7
2026-01-10,105.7,25.0
2026-01-11,104.3,23.8
2026-01-12,126.7,26.4
2026-01-13,119.1,25.2
2026-01-14,112.2,26.9
2026-01-15,119.8,26.4
2026-01-16,120.8,28.9
2026-01-17,140.9,29.3
2026-01-18,118.0,28.6
2026-01-19,128.2,29.9
2026-01-20,113.1,28.1
2026-01-21,89.9,27.9
2026-01-22,140.1,31.1
2026-01-23,145.2,31.0
2026-01-24,122.8,32.0
2026-01-25,169.6,34.9
2026-01-26,115.0,32.9
2026-01-27,138.7,30.3
2026-01-28,136.0,33.5
2026-01-29,162.5,29.9
2026-01-30,161.9,31.3
2026-01-31,142.3,31.9
2026-02-01,145.5,34.6
2026-02-02,126.2,30.8
2026-02-03,109.1,30.6
2026-02-04,132.8,31.5
2026-02-05,139.2,30.5
2026-02-06,154.0,33.0
2026-02-07,152.0,29.5
2026-02-08,126.4,29.1
2026-02-09,125.7,29.8
2026-02-10,112.4,29.4
2026-02-11,104.6,32.6
2026-02-12,97.9,30.8
2026-02-13,150.3,29.0
2026-02-14,110.8,26.6
2026-02-15,109.2,29.2
2026-02-16,94.3,25.9
2026-02-17,122.0,24.5
2026-02-18,83.4,28.0
2026-02-19,101.7,26.1
2026-02-20,88.8,26.4
2026-02-21,105.3,24.8
2026-02-22,89.2,25.0
2026-02-23,76.6,22.0
2026-02-24,91.4,20.8
2026-02-25,95.9,22.6
2026-02-26,88.1,19.7
2026-02-27,89.5,19.2
2026-02-28,73.3,18.8
2026-03-01,75.4,18.8
2026-03-02,68.9,17.5
2026-03-03,71.8,15.2
2026-03-04,63.3,15.6
2026-03-05,48.1,12.5
2026-03-06,75.2,16.0
2026-03-07,65.2,12.0
2026-03-08,45.6,12.0
2026-03-09,75.9,13.1
2026-03-10,54.3,11.2
2026-03-11,67.8,14.0
2026-03-12,77.1,9.1
2026-03-13,67.4,10.8
2026-03-14,81.8,9.7
2026-03-15,45.6,7.4
2026-03-16,69.6,9.4
2026-03-17,52.9,7.8
2026-03-18,49.6,8.8
2026-03-19,53.7,8.4
2026-03-20,57.3,9.9
2026-03-21,62.6,8.3
2026-03-22,44.0,5.3
2026-03-23,74.8,5.2
2026-03-24,68.0,6.9
2026-03-25,37.9,5.9
2026-03-26,83.1,5.6
2026-03-27,89.1,2.1
2026-03-28,78.2,4.3
2026-03-29,57.7,3.1
2026-03-30,44.3,4.5
2026-03-31,76.1,3.9
2026-04-01,54.2,5.4
2026-04-02,78.5,4.5
2026-04-03,63.3,5.3
2026-04-04,74.8,3.5
2026-04-05,65.5,2.9
2026-04-06,70.7,3.9
2026-04-07,60.2,4.7
2026-04-08,86.8,5.5
2026-04-09,62.0,8.6
2026-04-10,66.1,5.5
2026-04-11,88.3,4.4
2026-04-12,39.8,5.7
2026-04-13,41.0,6.0
2026-04-14,74.6,7.8
2026-04-15,42.4,5.3
2026-04-16,89.2,8.2
2026-04-17,53.8,8.9
2026-04-18,48.8,9.5
2026-04-19,88.8,8.9
2026-04-20,82.2,10.0
2026-04-21,88.0,8.9
2026-04-22,73.6,10.9
2026-04-23,47.1,11.5
2026-04-24,88.7,13.6
2026-04-25,56.0,11.9
2026-04-26,72.0,15.5
2026-04-27,74.2,17.3
2026-04-28,57.7,12.7
2026-04-29,69.2,17.2
2026-04-30,73.8,18.3
